"Team","Theta","Alpha"
"Hull City",-1.2525784099535,0.853721338786323
"Leicester City",-0.477693179784314,0.856292911607657
"Southampton",-0.493552454125907,0.844580490310391
"Watford",-1.06451232366988,0.826848013843059
"Everton",-0.333954914933446,0.843575601409229
"Tottenham",-0.057381991014162,0.843216260874669
"Crystal Palace",-0.384872037293099,0.844201957939887
"West Brom",-0.54457604547195,0.852765984578815
"Middlesbrough",-0.411638002258976,0.902234398161868
"Stoke City",-0.326561717425311,0.846916065179596
"Burnley",-0.565416388269575,0.847366292169558
"Swansea City",-1.17518559010798,0.847423298127626
"Manchester City",0.807816504966363,0.827138814996696
"Sunderland",-1.67248274088998,0.893118324602592
"Bournemouth",-0.742161552414418,0.866576465221081
"Manchester Utd",0.555763204896965,0.85531177248184
"Arsenal",0.0367862425251424,0.842038911339746
"Liverpool",1.34356304495674,0.821520088878522
"Chelsea",0.293105710506072,0.841939869136389
"West Ham",-0.466677474105346,0.824251622124831
"Huddersfield",-1.20427326484771,0.832799931540777
"Brighton",0.026003515841231,0.85277455967559
"Newcastle Utd",-0.202863951642533,0.850490175077024
"Fulham",-0.885641078320707,0.848915214839122
"Cardiff City",-2.07882482378568,0.834702471170681
"Wolves",-0.38279515831229,0.858143958962314
"Norwich City",-1.83744012254802,0.786051581036146
"Sheffield Utd",-1.32942500315188,0.858454051094271
"Aston Villa",-0.622588798361092,0.847307255032918
"Leeds United",-0.658080424832754,0.857898799709584
"Brentford",-0.23968581127699,0.85367896804135
"Nott'ham Forest",-0.612853699054009,0.84985923286537
"Luton Town",-1.23282140608096,0.886310755091874
