Team,n_seasons,mean_position,position_variance,stickiness,initial_sigma,gravity_mean
Arsenal,9,4.8,5.1,0.748,0.262,3.2
Aston Villa,6,9.8,21.1,0.415,0.38,8.2
Bournemouth,8,13.0,9.5,0.612,0.304,12.3
Brentford,4,14.0,23.5,0.39,0.392,14.5
Brighton,9,12.6,16.2,0.48,0.352,10.0
Burnley,7,14.7,17.9,0.456,0.362,16.4
Chelsea,9,4.7,8.4,0.64,0.295,6.1
Crystal Palace,9,12.4,1.4,0.917,0.208,12.0
Everton,9,11.8,12.4,0.548,0.326,13.6
Fulham,5,15.2,15.0,0.501,0.343,14.6
Leeds United,3,15.7,11.6,0.565,0.32,15.7
Liverpool,9,2.8,1.7,0.897,0.216,2.9
Manchester City,9,1.6,0.7,0.956,0.192,1.6
Manchester Utd,9,5.7,14.9,0.502,0.343,7.3
Newcastle Utd,7,9.3,12.8,0.54,0.329,7.4
Nott'ham Forest,3,13.3,20.2,0.426,0.375,13.3
Sunderland,1,20.0,0.0,0.4,0.4,20.0
Tottenham,9,6.2,17.7,0.458,0.361,8.3
West Ham,9,11.6,14.5,0.509,0.34,12.7
Wolves,7,11.4,10.5,0.588,0.312,12.8
